Date,Open,Price,High,Low,Vol(M),Change%,
May 13 / 2022,12387.40,12124.19,12429.23,12069.83,268.77,3.70,
May 16 / 2022,12243.58,12297.07,12395.37,12196.56,198.21,-1.16,
May 17 / 2022,12564.10,12497.05,12572.37,12334.67,234.24,2.62,
May 18 / 2022,11928.31,12353.24,12389.96,11891.55,277.03,-5.06,
May 19 / 2022,11875.63,11871.33,12066.65,11795.79,274.43,-0.44,
May 20 / 2022,11835.62,12037.03,12042.76,11493.11,310.16,-0.34,
May 23 / 2022,12034.28,11867.08,12047.62,11785.76,222.48,1.68,
May 24 / 2022,11769.84,11809.46,11841.61,11576.13,231.83,-2.20,
May 25 / 2022,11943.93,11727.59,12028.42,11714.27,223.83,1.48,
May 26 / 2022,12276.79,11906.83,12337.68,11901.87,252.30,2.79,
May 27 / 2022,12681.42,12423.94,12681.42,12405.54,247.34,3.30,
May 31 / 2022,12642.10,12689.88,12762.84,12482.80,418.27,-0.31,
Jun 01 / 2022,12548.36,12750.31,12820.40,12458.35,206.92,-0.74,
